badge_name,id,reference_id,reference_type,badge_group_id,enabled,points,highest_points,created_at,updated_at,deleted_at
Legal,131,0022c9b7-d36d-47f4-9785-769d6352c550,categories,36,TRUE,10,10,30:30.0,30:30.0,
Admin & Clerical,132,62fa1031-a980-42b0-ac1d-8821b5ee4c55,categories,36,TRUE,150,150,30:30.0,30:30.0,
QA Quality Control,133,fa88a620-96ed-4f8e-9c94-972e4f9c7796,categories,36,TRUE,80,110,30:30.0,30:30.0,
Health Care,134,459ad407-2e2d-4b2e-be55-0fd47869be34,categories,36,TRUE,70,70,30:30.0,30:30.0,
Management,135,6e9a7c70-2106-4f89-9809-6ad9a66b745d,categories,36,TRUE,210,210,30:30.0,30:30.0,
Design,136,5423730c-0446-428f-abb4-32a77b59770a,categories,36,TRUE,1175,1520,30:30.0,30:30.0,
Business Development,137,8b02765b-9616-475a-aa0f-1bd301c46ad0,categories,36,TRUE,130,200,30:30.0,30:30.0,
Customer Service,138,60aaade4-54af-43dc-baa2-65a24a361e02,categories,36,TRUE,30,40,30:30.0,30:30.0,
Supply Chain,139,6c5ff843-98ab-4453-ad56-fb160b4fe3cd,categories,36,TRUE,110,140,30:30.0,30:30.0,
Information Technology,140,f4491b7b-ad9a-45cc-9945-939f9813ea9e,categories,36,TRUE,1615,1780,30:30.0,30:30.0,
Marketing,141,02f15662-231c-47c3-9df0-7ad153205a7a,categories,36,TRUE,1330,1610,30:30.0,30:30.0,
Accounting,142,bc83ca55-7b5d-4384-9bf8-02439e85a568,categories,36,TRUE,120,210,30:30.0,30:30.0,
Engineering,143,4980da77-a184-4eab-8b15-051dc760305e,categories,36,TRUE,440,560,30:30.0,30:30.0,
Consultant,144,f5a37f93-6b26-4a4c-a71a-49c991ffadad,categories,36,TRUE,50,50,30:30.0,30:30.0,
Facilities,145,b991b868-36ff-4cde-9cb2-068995901151,categories,36,TRUE,20,20,30:30.0,30:30.0,
Warehouse,146,9c23ef65-8626-4698-bcc6-632dfddb59f5,categories,36,TRUE,40,40,30:30.0,30:30.0,
Inventory,147,c65cf234-ecf3-4663-869c-ed855cc5f770,categories,36,TRUE,40,70,30:30.0,30:30.0,
Pharmaceuticals,148,d27ebb64-1620-450e-8511-39b47b9a0ea4,industries,37,TRUE,480,590,30:30.0,30:30.0,
Telecommunications,149,14821b0e-d6c2-4f28-99d7-11cec2db3f0e,industries,37,TRUE,70,70,30:30.0,30:30.0,
Design,150,87ea6815-8cb9-4a1e-a2d1-d5462bfea829,industries,37,TRUE,140,140,30:30.0,30:30.0,
Electrical/Electronic Manufacturing,151,eb4c680b-1c49-4f35-95d8-7541232b7403,industries,37,TRUE,50,80,30:30.0,30:30.0,
Computer Games,152,6a7d6b18-63f1-4596-ad71-5665748fc22b,industries,37,TRUE,100,110,30:30.0,30:30.0,
Financial Services,153,340ade8d-7732-48d8-96a0-47d3098505ce,industries,37,TRUE,875,1040,30:30.0,30:30.0,
Media Production,154,67337d45-54a6-4029-884d-899c61f2213e,industries,37,TRUE,530,560,30:30.0,30:30.0,
Information Technology and Services,155,42099ec1-9994-4777-82b3-d80737e75bea,industries,37,TRUE,30,40,30:30.0,30:30.0,
Computer Hardware,156,fa6cf483-1fce-400e-8ad0-84d4b0453ad6,industries,37,TRUE,120,120,30:30.0,30:30.0,
Aviation & Aerospace,157,a51fdb13-8dcc-4077-a3a8-691eb2721065,industries,37,TRUE,120,120,30:30.0,30:30.0,
Shipbuilding,158,feee6d29-c178-4493-b624-da825b97af2a,industries,37,TRUE,40,40,30:30.0,30:30.0,
Internet,159,8628adf6-1c67-4eaf-b131-e773a2f6caba,industries,37,TRUE,10270,11810,30:30.0,30:30.0,
Market Research,160,2bd0a76a-80a8-414a-b1e6-9043184d4517,industries,37,TRUE,360,430,30:30.0,30:30.0,
Industrial Automation,161,db01710b-94a7-4dc0-a257-8de0b2e9e76c,industries,37,TRUE,15,20,30:30.0,30:30.0,
Retail,162,32df426f-bad0-47a7-95f2-dc2d723cf915,industries,37,TRUE,240,250,30:30.0,30:30.0,
Utilities,163,684d01d1-c2e4-4094-8cb4-a44e873045dd,industries,37,TRUE,180,220,30:30.0,30:30.0,
Airlines/Aviation,164,7752fe29-3225-45fc-85d5-d7a12bf161d4,industries,37,TRUE,55,70,30:30.0,30:30.0,
Consumer Goods,165,1cea2568-0e61-4074-90a8-0fe1bd37141a,industries,37,TRUE,610,670,30:30.0,30:30.0,
Automotive,166,e3cf33d6-79df-4a33-b8bc-2dde3f632a2b,industries,37,TRUE,280,280,30:30.0,30:30.0,
Research,167,e6d6974e-0d85-4933-82b8-9908aa6134df,industries,37,TRUE,280,280,30:30.0,30:30.0,
E-Learning,168,d84479e2-d210-4db2-821d-f262590a956d,industries,37,TRUE,70,70,30:30.0,30:30.0,
Computer & Network Security,169,cf71bfea-336c-4923-8b48-9563655cf68c,industries,37,TRUE,1430,1840,30:30.0,30:30.0,
Biotechnology,170,210ca205-d9f0-49ff-a17c-0b7921928168,industries,37,TRUE,1105,1350,30:30.0,30:30.0,
Contract,171,,,38,TRUE,17250,19980,30:30.0,30:30.0,
Full Time,172,,,38,TRUE,200,220,30:30.0,30:30.0,
United States,173,80c17587-1891-48e1-9447-d53b553534f2,countries,39,TRUE,17450,20200,30:30.0,30:30.0,
Texas,174,94e1a62f-121b-4f0c-b2ca-2ffc178a8dc1,states,40,TRUE,1535,1970,30:30.0,30:30.0,
Illinois,175,586eecb9-7a0e-4c09-83b9-45f1cf6ff84c,states,40,TRUE,40,70,30:30.0,30:30.0,
Georgia,176,33a293c0-78ee-4465-9991-93f155c14430,states,40,TRUE,260,260,30:30.0,30:30.0,
Oklahoma,177,37c4f6ea-e831-4f39-a4f4-c3f4f9382129,states,40,TRUE,40,70,30:30.0,30:30.0,
Michigan,178,98c9211b-62eb-46e3-a10f-c1654f3c6468,states,40,TRUE,560,590,30:30.0,30:30.0,
New Jersey,179,32beca94-125a-4dbb-bc91-5ddbe8561024,states,40,TRUE,30,40,30:30.0,30:30.0,
Washington,180,5ea46500-47a5-40c4-aca3-bc7f569e5280,states,40,TRUE,40,70,30:30.0,30:30.0,
Florida,181,548305ad-edda-4c39-94e3-babfa14462a8,states,40,TRUE,70,70,30:30.0,30:30.0,
Missouri,182,af8a822c-f497-4858-8d99-cebde14928a3,states,40,TRUE,180,180,30:30.0,30:30.0,
Oregon,183,9a6040f4-bf18-4745-90d9-687955625273,states,40,TRUE,180,220,30:30.0,30:30.0,
New York,184,24302407-126c-41b9-a3bc-b26680604dc0,states,40,TRUE,640,660,30:30.0,30:30.0,
